no,kabupaten/kota,ibu kota,bupati/wali kota,luas wilayah (km²)[13],jumlah penduduk (2020),kecamatan,kelurahan/desa
1,Kabupaten Banjarnegara,Banjarnegara,Tri Harso Widirahmanto (Pj.),"1.023,73",1.017.767,20,12/266
2,Kabupaten Banyumas,Purwokerto,Hanung Cahyo Saputro (Pj.),"1.335,30",1.776.918,27,30/301
3,Kabupaten Batang,Batang,Lani Dewi Rejeki (Pj.),"788,65",801.718,15,9/239
4,Kabupaten Blora,Blora,Arief Rohman,"1.955,82",888.224,16,24/271
5,Kabupaten Boyolali,Boyolali,Said Hidayat,"1.008,45",1.062.713,22,6/261
6,Kabupaten Brebes,Brebes,Iwanuddin Iskandar (Pj.),"1.902,37",1.978.759,17,5/292
7,Kabupaten Cilacap,Cilacap,Awaluddin Muuri (Pj.),"2.124,47",1.944.857,24,15/269
8,Kabupaten Demak,Demak,Eisti'anah,"900,12",1.203.956,14,6/243
9,Kabupaten Grobogan,Purwodadi,Sri Sumarni,"2.013,86",1.453.526,19,7/273
10,Kabupaten Jepara,Jepara,Edy Supriyanta (Pj.),"1.059,25",1.184.947,16,11/184
11,Kabupaten Karanganyar,Karanganyar,Timotius Suryadi (Pj.),"775,44",931.693,17,15/162
12,Kabupaten Kebumen,Kebumen,Arif Sugiyanto,"1.211,74",1.350.438,26,11/449
13,Kabupaten Kendal,Kendal,Dico Ganinduto,"1.118,13",1.018.505,20,20/266
14,Kabupaten Klaten,Klaten,Sri Mulyani,"658,22",1.260.506,26,10/391
15,Kabupaten Kudus,Kudus,Muhammad Hasan Chabibie (Pj.),"425,15",849.184,9,9/123
16,Kabupaten Magelang,Mungkid,Sepyo Achanto (Pj.),"1.102,93",1.299.859,21,5/367
17,Kabupaten Pati,Pati,Henggar Budi Anggoro (Pj.),"1.489,19",1.324.188,21,5/401
18,Kabupaten Pekalongan,Kajen,Fadia Arafiq,"837,00",968.821,19,13/272
19,Kabupaten Pemalang,Pemalang,Mansur Hidayat,"1.118,03",1.471.489,14,12/212
20,Kabupaten Purbalingga,Purbalingga,Dyah Hayuning Pratiwi,"677,55",998.561,18,15/224
21,Kabupaten Purworejo,Purworejo,Yuli Hastuti,"1.091,49",769.880,16,25/469
22,Kabupaten Rembang,Rembang,Abdul Hafidz,"887,13",645.333,14,7/287
23,Kabupaten Semarang,Ungaran,Ngesti Nugraha,"950,21",1.053.094,19,27/208
24,Kabupaten Sragen,Sragen,Kusdinar Untung Yuni Sukowati,"941,54",976.951,20,12/196
25,Kabupaten Sukoharjo,Sukoharjo,Etik Suryani,"489,12",907.587,12,17/150
26,Kabupaten Tegal,Slawi,Agustyarsyah (Pj.),"876,10",1.596.996,18,6/281
27,Kabupaten Temanggung,Temanggung,Hary Agung Prabowo (Pj.),"837,71",790.174,20,23/266
28,Kabupaten Wonogiri,Wonogiri,Joko Sutopo,"1.793,67",1.043.177,25,43/251
29,Kabupaten Wonosobo,Wonosobo,Afif Nurhidayat,"981,41",879.124,15,29/236
30,Kota Magelang,-,Muhammad Nur Aziz,"16,06",121.526,3,17/-
31,Kota Pekalongan,-,Achmad Afzan Arslan Djunaid,"45,25",307.150,4,27/-
32,Kota Salatiga,-,Yasip Khasani (Pj.),"57,36",192.322,4,23/-
33,Kota Semarang,-,Hevearita Gunaryanti Rahayu,"373,78",1.653.524,16,177/-
34,Kota Surakarta,-,Gibran Rakabuming Raka,"46,01",522.364,5,51/-
35,Kota Tegal,-,Dadang Somantri (Pj.),"39,68",273.825,4,27/-
